sentence1,sentence2,label
"Hierdie prikkels word na die melkkoei se brein herlei, waar die hipofise (pituitêre klier) geleë is.",Ek wil voorstel jy raadpleeg jou algemene praktisyn of n seelkundige om die angs probleem to probeer oplos.,0.34
In 2018 wissel dit tussen een Engelse titel tot n 50/50-verdeling.,"Kouer lug het 'n hoer relatiewe humiditeit, en warmer lug het 'n laer relatiewe humiditeit.",0.06
Giet n laag vla oor.,Herhaal die proses; eindig met n laag vla.,0.81
"As jy n meer soliede afwerking verkies, maak silwer jou basiskleur.","Kies n emalje- of PVA-verf as basislaag, afhangend van die meubelstuk se bestaande afwerking.",0.41
Lê spek neer op n plat oppervlak sodat die lang kante van die spek net-net oor mekaar lê.,Begin van n kant af die spek om die filet vou sodat dit die filet toemaak.,0.69
"Kook af tot jy sien dis stroperig, net ongeveer n 1/3 moet oor wees.","Jy kan dit in n sirkelpatroon doen, of die lint opdeel en net plat oor die bodem rangskik.",0.28
"Hoe dink jy kan Afrikaanse, Afrika-, Nederlandse, Vlaamse en ander kunstenaars by mekaar leer?","Afrikaanse, Afrika-, Nederlandse en Vlaamse kunstenaars het groot komponente van hul tale as n gemene faktor.",0.81
"Jy kan aan pos proe, maar die kos kan nie proe nie  dit smaak lekker of sleg.",Kos is smaaklik of smakeloos en jy sal sê: ek proe aan die kos en dit smaak lekker.,0.75
Julle brand van begeerte om n meer aktiewe rol te speel in die redding van siele.,Dit lei tot n bladsy waarin jou besigheid se inligting in meer detail aangebied word.,0.28
Skep n laag spinasie bo-op en gooi van die witsous oor.,Pak n laag lasagne-velle bo-op en herhaal tot jy vier lae het.,0.69
Pols alles saam met 2 takkies ment (blaartjies van die stingel afgebreek) fyn met n staafmenger.,"Dit bevat ook 'n baie hoë hoeveelheid vitamien K, en dit sluit onnodige addisionele bestanddele in.",0.16
Lewer n positiewe reaksie op negatiewe gebeure.,"Wanneer hulle hulle oorgee aan hulle negatiewe uitkyk op n situasie, wys vir hulle die positiewe sy.",0.69
Hy sê egter nie wie die departement dink vervolg moet word nie.,Daar was egter geen verwysing daarin dat iemand vervolg moet word nie.,0.56
"Die verskillende modelle van haatmisdaadwetgewing, omskrywingskwessies, asook die twispunte wat met hierdie wetgewing verband hou word oorweeg.",Hierdie artikel oorweeg ook praktiese probleme wat verband hou met die implementering van haatmisdaadwetgewing.,0.81
"Anders as die meeste bekendes, sal jy haar nie in n hotelkamer aantref nie.",Doseer alle skape uitgesonderd die lammers met 'n breëspektrum parasietmiddel.,0.19
"Die nuggets kan ook gebruik word as deel van n slaai, of in n tortilla-wrap.","Die Kokerboom Selfsorg Eenheid bied selfsorgverblyf in Loeriesfontein, 'n bekoorlike dorpie in die Noord-Kaap.",0.12
Sommige belastingbetalers is gelukkig genoeg om op n terugbetaling vanaf die SAID geregtig te wees.,"Die SAID het 21 werksdae, na die afhandeling van n aanslag om n terugbetaling te maak.",0.75
"As jy die videolesse eenmaal afgelaai het, is n internetverbinding nie meer nodig nie.","Wat jy nodig het, is n pad met al die nodige padborde en al die vinnige snelweë.",0.28
Die 2de rok was n strapless rok met baie kralewerk op die bo-lyf en groot valle onder.,"Die 3de rok was n korter rokkie, wat net onder die knie sit.",0.53
Vandag is dit n Erfenisgebied en bied talle werksgeleenthede aan die plaaslike inwoners.,Vandag is dit n Erfenisgebied wat deur middel van n veerboot besoek kan word.,0.59
"Was dit jy alleen, of was jy deel van n groep mense?","Was dit n eenmalige gebeurtenis, of is dit iets wat jy op n gereelde basis doen?",0.25
Drie jaar later trou sy met William Alfred Cowle.,Drie jaar later trou sy met Robert Sproat.,0.69
"REGS: n Mikrografiese foto van piepklein groen alge, bekend as Ostreococcus.","BO: n Mikroskopiese foto van n kraplarwe, uit n plankton-versameling.",0.78
"Gebruik dit in slaai, vrugteslaai, gooi dit in n drankie of versier n gereg daarmee.","As plantluise n probleem is, spuit met seepwater of vee dit af met n klam doek.",0.22
Hierdie bundel is die opvolger van die baie suksesvolle Rympies vir Pikkies en Peuters wat in 2015 verskyn het.,"Hierdie liedjieboek bestaan uit 40 versies uit die gewilde Rympies vir pikkies en peuters, deur Gertie Smit getoonset.",0.72
"Ja, want die gevaarlikste ding op twee bene is n skrywer op soek na n storie.",Uiteindelik bely die skrywer sy onmag om die storie tot n klinkende of knallende slot te bring.,0.62
Hy word deur bendelede geteiken en beleef n paar dinge waarop hy nie gereken het nie.,"Hy word deur n inisiasie geneem, wat hom laat terugverlang na sy veilige huis by sy ouma.",0.44
"Verf op hout-elemente kan met veiligheid verwyder word, selfs al het dit n loodbasis.",Die Bangalore Ooty Kodaikanal Tour pakket sal verseker dat jy die beste ervaring uit hierdie reis kry.,0.22
Ben-Erik van Wyk is 'n professor in Plantkunde aan die Universiteit van Johannesburg.,Die mate van opening van die valdeurtjie word gereguleer met hierdie draadjie (c).,0.28
Ná vier jaar vervang hy die motor met n nuwe een  n nuwer model.,Hy vervang dus ook elke vier jaar sy motor met n nuwe.,0.66
"Hoe, dink jy, is die arend aangepas om te vlieg en sy prooi te vang?",Ek wil net baie dankie sê vir al julle moeite rakende ons troue.,0.12
Elektriese strykysters het in die laat 1800s op die mark verskyn.,Outomatiese ketels het in die 1950s op die mark verskyn.,0.38
"As die terrein betree word, moet die leerder afklim en die fiets tot in die fietsloods stoot.","Indien n ouer n leerder vroeër kom afhaal, moet die uittekenboek in die ontvangsarea voltooi word.",0.72
"In 1378 het Mamai n Mongoolse leër gestuur, maar Dmitri se magte het dit verslaan.","Die verslane Mamai is daarna onttroon deur n mededingende Mongoolse generaal, Tochtamisj.",0.78
"In 1927 het n Amerikaner, Charles Strite, die wêreld se eerste wiprooster ontwerp.",Dit is nie asof jy 20% meer werk n dag doen as n roker nie.,0.22
"Treine word gebruik om mense, diere en goedere te vervoer.",Enige van die baie produkte by Cool Creations maak lieflike geskenke.,0.19
Die kompetisie duur van 5 tot 25 Junie 2018 om middernag.,"Deur in te skryf vir die kompetisie, stem die deelnemer in tot die bepalings en voorwaardes.",0.53
Die instrukteur plak elektrodes direk bokant sekere spiere en laat die elektriese impulse die werk doen.,"Nooit mag jy ophou bid nie, want Ek hoor jou elke keer.",0.22
Die invloedwaardes van verskillende tydskrifte kan dan gebruik word om akademiese tydskrifte in n rangorde te plaas.,Hierdie algoritme kan dalk die basis van n beter ordening van akademiese tydskrifte vorm.,0.66
Gooi n bietjie asyn by die bloed om te voorkom dat dit stol.,Gooi die spek en uie terug in die pot en strooi n bietjie meel oor.,0.33
Hierdie spesialisasie word op n unieke manier aangebied.,Sedertdien verwerf swart Afrikaanse vroueskrywers n toenemend sterker posisie binne die Afrikaanse literêre sisteem.,0.34
"Polêre geneesmiddels wat in water oplosbaar is, word direk, in hul oorspronklike vorm , uitgeskei.","Apolêre geneesmiddels wat in vet oplosbaar is, moet egter eers deur biotransformasie in polêre stowwe omgesit word.",0.88
Die volledige verslag sal ook aan die werkgroep beskikbaar gestel word vir bespreking tydens 'n volgende vergadering.,Die werkgroep sal in kennis gestel word sodra die prysinligting op die webtuiste beskikbaar is.,0.56
"Hoekom is jou vriendin wat onder die teken van die gulhartige Leeu gebore is, so suinig?","Hoekom is jou man wat onder die teken van die vriendelike Tweeling gebore is, so stil en ernstig?",0.69
In die Psalms hoor ons die stem van die Herder van Psalm 23.,"Indien daar te min koeie op hitte kom, gaan soek raad.",0.28
Laat die pasient plat lê in die voertuig met die ledemaat waarin hy gepik is effens gelig.,"Hy kon ook nie afkeurend daaroor frons nie, want dan sou dit geen silwerdoek gehaal het nie.",0.16
Hulle is skaars n kilometer van die beskawing af.,Die drie kampplekke is skaars n kilometer van die Nossob-pad af.,0.56
"Die tweede naaste wolf in skaapklere aan hierdie leier was n maer ram, maar nie klein nie.","Nog so n wolf in skaapklere wat naby aan hom beweeg het, was n pragtige ram.",0.72
Meeste produkte brand en maak ons velle baie olierig.,"Hierdie room absorbeer vinnig, brand nie en maak ook nie ons velle olierig nie.",0.88
Die konserwatiewe beweging het egter nie n toekomsvisie nie en kan daarom nie inspireer nie.,Hulle kan slegs argumenteer dat die utopiese toekomsvisie van die progressiewe beweging in werklikheid n distopie gaan wees.,0.75
Donnalee ontvang by hierdie toekennings ook die prys vir Aktrise van die Jaar vir haar hoofrol as Amory.,Tog is n koevoet hoegenaamd nie die enigste soort hefboom wat in ons wêreld bestaan nie.,0.19
Druk die kleiner houer in die middel sodat n gaatjie gevorm word waar die plantjie geplant gaan word.,Gooi n paar klippies in die klein vormpie sodat die gips dit nie na bo druk nie.,0.44
Vir elke dag van die jaar is daar 'n kort aanhaling oor wat geloof is in net tien woorde.,Begin elke dag met hierdie aanhaling en dra die tien woorde saam met jou.,0.62
"Omdat jy dit dikwels gebruik, moet jy weet hoe jy dit sal hernu.",Munt kan op baie maniere gebruik word en jy moet net weet hoe jy dit laat groei.,0.25
Stel jou voor jou kind skryf elke week n opstel.,Washington is ook n fietsryer-vriendelike stad.,0.09
Dit is n goeie geleentheid om staaltjies en stories te deel.,"Dit is n goeie tyd om stories te weef, hetsy verbeeld of werklik.",0.69
Moenie belê in iets wat jy nie verstaan nie  selfs al ís dit n goeie belegging.,"As jy dit nie verstaan nie, weet jy nie wat die risiko van n belegging behels nie.",0.75
"Wanneer jy ander blameer, ondermyn dit jou vermoë om verantwoordelikheid oor jou eie lewe te neem.",Die skrywer vertel ons in die verhaal hoe n storie ontstaan en is n belangrike faset in die verhaal.,0.25
"Dit is gemaak van hoë gehalte bestanddele, maar dit is nie geskik vir vegane of vegetariërs nie.",Daar was volgens n raming n tyd gelede sowat 30 miljoen skape in Suid-Afrika.,0.31
"Hulle kan oorals op die noordelike kontinente, die brokstukke van Laurasië aangetref word.","Op die suidelike kontinente, veral Suid-Amerika word hulle newe die Gondwanatheria aangetref.",0.62
Maak hom n flattie: Draai die hoender om sodat die borsbeen na onder wys.,Draai die hoender om en skuif dit na n koeler deel van die rooster.,0.75
"Omdat lig nie om n voorwerp kan beweeg nie, vorm n skaduwee daaragter.","Baie voorwerpe laat wel n hoeveelheid lig deur, maar is nie deursigtig nie.",0.84
"Sy was met Johnny du Bruyn getroud en het n seun Vaughn en dogter, Julie.",Bêre op n droë plek en saai dit die volgende seisoen weer.,0.12
Pols totdat dit n bal vorm.,Dit moet n stywe bal deeg vorm.,0.72
Dus is n roeiboot of aasboot noodsaaklik as jy die vis wil teiken.,Skaf dus gerus n verkyker aan sou jy oor daardie afstande wil hengel.,0.75
Hoekom sit jy jou kind in n Engelse skool?,Hoe was dit vir jou as Afrikaanse kind in n Engelse skool?,0.5
Met die masjiene kan sy organe glo nog vir n onbepaalde tyd aan die gang gehou word.,In hierdie publikasie vertel Van Rensburg n alternatiewe verhaal oor die ontstaan van Afrikaans.,0.28
Met enkelbedragongeskiktheidsdekking word n kontantbedrag betaal as jy permanent ongeskik raak en gevolglik nie kan werk nie.,Inkomstebeskermingsdekking betaal n maandelikse inkomste uit as jy tydelik of permanent ongeskik raak.,0.59
Die Suid-Afrikaanse Jongwynskou is die oudste wynkompetisie in Suid-Afrika en is vanjaar vir die 186ste keer gehou.,Jou beste vriend / vriendin bly in Kaapstad.,0.34
Ons sal maar n uitgebreide toer van Lesotho doen as ons meer 4x4e is wat saamgaan.,"My pa en swaer het darem 4x4e, so sal maar saam hulle n toer reël.",0.69
Hoe lyk n tipiese Boer?,Lyk jy soos n slagoffer dan lyk jy ook soos n tipiese Boer.,0.62
Neem asseblief ook van die volgende kennis voordat u die Argief besoek.,Neem asseblief kennis van die Versamelings Oorsig vir inligting rakende die versamelings wat in die Argief beskikbaar is.,0.78
Derhalwe word die korrelasies volgens subgroepe en vir 12 maande oue bokke (seleksie-ouderdom) aangebied.,"HGG Finansiële Groep kondig met trots aan die stigting van 'n nuwe divisie, HGG BEEadvised.",0.16
Ek sou graag vir jou wou skryf en vertel hoe mooi jou hare is.,Ek sou graag vir jou wou vertel hoe opgewonde ek raak as ek jou stem hoor.,0.66
Dit sluit buiten poste vir onderwysers ook dié vir skoolhoofde en departementshoofde in.,"Die sluitingsdatum vir onderwysers is 14 September, terwyl aansoeke vir skoolhoofde en departementshoofde op 28 September sluit.",0.7
"Doen hulle dieselfe as jy, of doen hulle iets heeltemal anders?",Daarna kom daar 'n 1cm lagie fyn hoendermis voordat jy die sak met die res van jou tuinafval vul.,0.22
Gee jou video n titel en beskrywing in die nodige velde.,"Terwyl jou video laai, gee dit n naam en beskrywing.",0.81
"Die amaril word dan, met die skuurvlak ondertoe, op die klemplaat gesit.","As die blare in pare teenoor mekaar gerangskik is, word dit teenoorstaande blaarstand genoem.",0.25
Ek het jammer gevoel omdat Sprinkaan Mier so geterg het en so onvriendelik met Mier was.,Ek het jammer vir Sprinkaan gevoel omdat Mier nie vir hom kos wou gee nie.,0.81
Hierdie twee manne veg om n merkwaardige vyfde wêreldtitel agter hulle name te kan skryf.,"Die herbivore, oftewel primêre verbruikers, verkry hul energie deur die plante te vreet.",0.19
In 1959 het hy en sy eggenote 'n uitgebreide reis deur Afrika en Europa onderneem.,Gedurende 1962 het hulle op uitnodiging van 'n Afrikaanse Sondagkoerant weer 'n reis van drie maande deur Afrika onderneem.,0.59
Baie mense groei die Atlantic Giant pampoen variëteit vir kompetisies by pampoenfeeste regoor die wêreld.,"Dit het pap gereën en elkeen wat n verbintenis met die Guptas gehad het, het ruim geskep.",0.19
Hierdie situasie word aangeneem in die Suid-Afrikaanse reg om  stipulatio alteri te wees.,Aanvaarding is  unieke Suid-Afrikaanse vereiste wat gestel word vir die begunstigde in die toepassing van die stipulatio alteri.,0.69
"Die skool aanvaar geen verantwoordelikheid indien dit wegraak, gesteel of beskadig word nie.",Die skool aanvaar geen verantwoordelikheid vir diefstal uit sluitkassies nie.,0.81
"Ek het n baie onbetroubare vriend, maar tog vertrou ek my vriend met my lewe.","Ek is dom om dit te doen, maar my vriend is n slim foon.",0.41
"Maak 2 of 3 foeliebolletjies, sit hulle n entjie van mekaar weerskante van die hopie tee.",Sommige het 800 kalorieë per 100 gram.,0.41
Coenraad Buys was 'n agterkleinkind van die Franse Hugenoot Jean de Buis en sy vrou Sara Jacobs.,"Sara Jacobs was 'n dogter van my stamvader, Pierre Jacob, wat ook 'n Franse Hugenoot was.",0.75
"Daar sal ook 'n slaglamkompetisie Donderdag 11 Februarie, van 09:00 gehou word.",Woensdagaand 10 Februarie sal raakrugby aangebied word en 'n interskole toutrekkompetisie word Donderdagaand 11 Februarie gehou.,0.47
"Die vrou glo dit natuurlik glad nie, maar die winkelklerk sê: ''Karate daardie stoel!''",Vervolgens sê hy vir hond: ''Karate daardie tafel.'',0.59
Skilpaie wat aan die suborde behoort kan hulle nekke reguit onder hulle doppe intrek.,"Skilpaaie wat aan die suborde Pleurodira behoort, daarteenoor, vou hulle nekke onder hulle doppe in.",0.69
"Wanneer afsprake gereël word, maak seker dit is in openbare plekke.","Wanneer jy iemand in lewende lywe ontmoet, maak seker dat n familielid of vriend weet waar jy is.",0.72
"Hy gee nie om wat n mens se ras, posisie, kwalifikasie of agtergrond is nie.","Die feit dat n mens n titel het, beteken nie noodwendig dat jy kan lei nie.",0.44
"Die saadjies is so groot soos n ertjie, wat dit maklik maak om een-een te saai.",Daarbenewens kan sommige geneesmiddels mekaar se werking versterk of teenwerk.,0.31
"Om ontwikkeling in Suid-Afrika suksesvol te laat geskied, moet verskeie faktore inaggeneem word.",Dus moet hidrologiese inligting inaggeneem word tydens besluitneming vir die ontwikkeling van kleinskaalse boerdery.,0.34
Ek moet ook daardie kind se vertroue en respek verdien.,Ek moet ook eers daardie kind se storie hoor.,0.59
"Almarie du Preez se eerste Afrikaanse enkelsnit, Jy Vir My, is gedurende Junie 2017 bekendgestel.","Die amptelike musiekvideo vir hierdie liedjie word nou, gedurende Oktober 2017 bekendgestel.",0.41
Die oomblik dat n slang weet hy kan onafhanklik bestaan dan pik hy jou dood.,"Louis Botha en Jan Smuts, daarenteen sou verbete Engelsgesindes word.",0.22
"Wanneer misdaadstatistiek aan die publiek deurgegee word, word die terminologie nie altyd konsekwent gebruik soos hierbo gedefinieer nie.",In die plaaslike misdaad rapportering word gereëld terminologie soos die onderstaande gebruik.,0.56
"Dit is gemaak van hoë gehalte koudpers, ekstra-maagd klapperolie.",In die somer rondom 21 Junie is die son vir ongeveer drie maande lank laag bokant die horison sigbaar.,0.19
"Ek sien hier is so paar ouens op die forum wat betrokke is by metaal werk, fabrikasie ens.","Vir ons ouens wat nie aldag metaal werk doen nie is dit 'n groot werk, ek stem saam.",0.56
Pak n laag poffertjies bo-op die koekstruif en giet nog stroop oor.,Die stroop kan in die middellaag uitgelaat word vir n minder soet koekstruif.,0.75
By 100°C en 200°C is daar minder oksied vormasie waargeneem en bo 300°C was daar slegs suurstof adsorpsie.,Oksidasie is waargeneem tot by 300°C en geen oksied vormasie is waargeneem by hoër temperature nie.,0.94
Hou dit altyd in jou broek of baadjie sak as jy gaan fotos neem.,Kry n fluitjie en dra dit om jou nek elke keer as jy gaan fotos neem.,0.47
Elke persoon behoort n bedrag te spaar wat gelykstaande is aan 15% van jou salaris.,Jy sal n baie groter bedrag moet spaar.,0.62
In Hoofstuk 4 word gedigte behandel waarin die digter skryf oor sosiale status van mense.,In Hoofstuk 5 word gedigte behandel wat die tema het dat mense moet terugkeer na tradisionele gebruike.,0.72
Bo 300°C is daar geen oksied vormasie waargeneem nie en by hierdie temperature is daar slegs suurstof adsorpsie.,Oksidasie is waargeneem tot by 300°C en geen oksied vormasie is waargeneem by hoër temperature nie.,0.91
Die simbool Q word gereeld gebruik om die hoeveelheid elektrisiteit of lading aan te toon.,"Die hoeveelheid elektriese lading kan direk gemeet word met 'n elektrometer, of indirek gemeet met 'n ballistiese galvanometer.",0.75
Predatore of sekondêre verbruikers vreet weer die primêre verbruikers en/of ander sekondêre verbruikers om energie te verkry.,"Plaas die volgende koeklaag bo-op, smeer weer n laag karamelmengsel oor, gevolg deur gerasperde Peppermint Crisp.",0.19
Die Vrydag Bederf is n great plek om die vroulike vorm te bewonder.,Die Vrydag Bederf is ook n great manier om jou week af te sluit.,0.72
"Dit was geskryf deur Gideon Brückner, gelees deur François Haasbroek en skets deur Fred Mouton.","Dit is geskryf en gelees deur Toast Coetzer, skets deur Fred Mouton.",0.72
MEP's het verlede week by die Europese Parlement gearresteer.,Die diagonaal van 'n reghoek is 25 cm meer as die wydte.,0.06
Steentjie Drakie wil so graag n maatjie hê.,Senwes behou die reg voor om hierdie beleid oor die beskerming van privaatheid te enige tyd te wysig.,0.22
Fredi Nester Esterhuizen (25 Maart 1959  3 Julie 2015) was 'n Afrikaanse liedjieskrywer en sanger.,"Fredi is op 25 Maart 1959 in Johannesburg, Suid-Afrika, gebore en was die oudste van vyf kinders.",0.77
Daai spark wat maak dat ek iemand beter wil leer ken.,In die Griekse vertaling van die Ou Testament word hierdie woord nooit vir laste of probleme gebruik nie.,0.12
Ek het amper twee jaar lank met my lewe aangegaan en weer iemand gekry vir wie ek lief is.,Ek gaan weer uit met n man met wie ek twee jaar gelede uitgemaak het.,0.5
Ons nuwe huisvoer gee u onmiddellike toegang tot die nuutste nuus met 'n gesamentlike nuuservaring oor u geliefde onderwerpe.,Gevorderde nuus ervaring - Die nuwe tuisskerm gee jou die beste nuus oor jou gunsteling afdelings.,0.56
Hierdie gebeure het in Junie 2005 tot Zuma se afdanking as Visepresident van Suid-Afrika gelei.,Zuma is kort na sy afdanking as Visepresident van Suid-Afrika formeel aangekla van korrupsie.,0.84
"Die temperatuur waarby voedsel gesteriliseer word, verskil van voedselsoort tot voedselsoort.",Maar toe ruil hy die wine en dine vir n R2000 skenking vir die radio se gee projek.,0.31
Hiers die laaste staplysie wat jy ooit sal nodig hê  ongeag hoe lank jou staptog.,Hiers ons gids indien jy onseker is hoe om podcasts af te laai.,0.31
"Watter soort poësie ek skryf, hang tot n mate ook af van die leser.","Elke leeshouding is geldig, maar elke opvatting sorg weer vir n ander tipe leser.",0.62
Gebruik n skerp sjefsmes om elke rol reg van bo af in die lengte middeldeur te sny.,"Die primêre struktuur word deur kovalente peptiedbindings, wat tydens die translasieproses gemaak word, aanmekaar gehou.",0.16
"Dit het boonop n wye uitkringeffek, wat ook Suid-Afrikaanse se landboumarkte gaan beïnvloed.","Wanneer jy die vitamienes benodig, gebruik jou liggaam dit wat reeds gestoor is in jou vet.",0.28
"Die vrou gaan toe na die naaste troeteldierwinkel en sê: ''Kan julle my help, asseblief?","Die vrou glo dit natuurlik glad nie, maar die winkelklerk sê: ''Karate daardie stoel!''",0.44
Marí Hudson gesels met n chirurg van die Tygerberg Hospitaal oor dié kwessies.,Marí Hudson gesels in Borskankermaand met dr. Trusia Burgers van Somerset-Wes oor haar persoonlike stryd teen borskanker.,0.62
Daarna kan die druk konstant gehou word as die druk en die temperatuur saam ondersoek word.,"Wie sal vir haar sê: Liefling, jy lyk pragtig?",0.16
Wêreldwyd se Wêreldgids is so trots Suid-Afrikaans soos n boereworsrol by n Springbokrugbywedstryd.,Elke week kies Wêreldwyd n besigheid uit die Wêreldgids om in die Kollig te verskyn.,0.72
"As n aankoop gekanselleer word, word jou betaling tenvolle aan jou terug besorg.","Vir pakkies wat swaarder is as dit kan n bykomende kwotasie gestuur word, afhangende van die eindbestemming.",0.53
"Naaldwerk kan ek doen, moet my nie verkeerd verstaan nie!",Pa vind uit dit gaan  astronomiese bedrag kos om die karretjie reg te maak.,0.31
Ek het nooit n vaste plan met die spesifieke foto wat ek wil neem nie.,"Ons gesels, neem n paar fotos, gesels weer, neem weer.",0.5
Die radionstasie Radio Rosestad hier in Bloem is besig met n projek waar mense skenkings kan maak.,"Ons waardeer die mooi woorde so baie, dit is ons missie om gelukkige gaste huistoe te stuur.",0.31
Elke duiker het n buddy of is n buddy vir n ander scubaduiker.,Elke duiker (en dus buddy) het n back-up regulator.,0.88
"As jy die uitlener is, kan jy vereis dat die lener sy skuld met n polis dek.",Op n dag besluit Steentjie Drakie tot hiertoe en nie verder nie.,0.16
Kali word ook al hoe meer gedwing om n keuse tussen Zak en Leonardo te maak.,Sy ontdek ook dat daar n Kali ontluik wat sterker en dapperder is as arme banggat Kali.,0.78
Hierdie artikel ondersoek Afrika orakelspraak as n tipiese genre van orale poësie.,Hierdie artikel argumenteer kortliks dat die waarsêer-geneser n orale uitvoerder word.,0.66
Lê spek neer op n plat oppervlak sodat die lang kante van die spek net-net oor mekaar lê.,Pak die kole rondom en pak n paar kole oor die deksel sodat dit kan kook.,0.44
"Affi Lande se verblyf was vreeslik lekker en baie mooi, skoon en netjies.",Ek kan Affi Lande vir enige iemand met 'n geruste hart aan beveel vir 'n baie lekker verblyf.,0.88
Die volgorde van die letters kan gekontroleer word deur die tang op n stukkie karton te knip.,Van die ink kan op n stukkie watte of wol in n leë politoerblikkie gegooi word.,0.44
Hierdie wal is een van 'n reeks wat oor 'n ou pad aangebring is.,Bokant hierdie wal is 'n reeks keerwalle oor dieselfde sloot.,0.47
Daar is ook n boek oor Mirabella Muis wat huise ontwerp.,En kort voor lank verander sy regtig in n luiperd.,0.19
Spur se besluit om net die vrou te verban is miskien onoordeelkundig gewees.,"Spur se besluit om net die vrou alleen te verban is onoordeelkundig, sê jy.",0.78
Giet die orige marinade in n kastrol en laat weer goed kook.,"Brood wat nie geknie word nie, of roerbrood, is egter nie n nuwigheid nie.",0.44
"As mens die lugreëling aansit, is dit beter, maar mens kan voel die verwarmer is ook aan.","Na 'n tyd gaan die verwarmer dan weer af, mens kan dit duidelik voel.",0.69
Ek was al in die hele Namibië onder die ou Rooi lyn gebied.,Beplan elke geval vir 2018 om die ou Rooi lyn gebied plat te ry.,0.81
Meng volgende keer n paar teelepels heuning met n bietjie water en gooi dit oor jou vrugte.,Gooi n paar lemoenskille in jou houer met bruinsuiker.,0.53
Iets so basies soos n blikkie vis is genoeg om n heerlike gesinsete op te tower.,Ons as onderwysers en leerders van die Afrikaanse Hoër Seunskool is lief vir en lojaal aan ons vaderland.,0.12
"Hy is te los, of te styf, ek is regtig nie seker nie.","Want as hy te los (of styf) is, dan moet hy mos altyd skree.",0.53
